################################################################
#E P     Xo      Jo        Z        Rc      Rs          Ks
################################################################ 
O  1     8.74100 13.36400  1.000000 0.54612 0.54612     814.04451 0.00000
C  1     7.01754 10.22368  1.000000 0.54113 0.54113     811.00807 0.00000
