 C302     N300        HARMONIC     962.0000    1.3400
 C302     N303        HARMONIC     962.0000    1.3400
 C307     C308        HARMONIC     536.0000    1.5290
 C307     H140        HARMONIC     680.0000    1.0900
 C307     N303        HARMONIC     674.0000    1.4630
 C308     H140        HARMONIC     680.0000    1.0900
 C500     C501        HARMONIC     776.0000    1.4590
 C500     C514        HARMONIC    1092.0000    1.3520
 C501     C502        HARMONIC     894.0000    1.4190
 C502     N503        HARMONIC     856.0000    1.3800
 C505     C507        HARMONIC     634.0000    1.5040
 C505     C508        HARMONIC     634.0000    1.5040
 C505     C510        HARMONIC     634.0000    1.5040
 C505     H140        HARMONIC     680.0000    1.0900
 C506     H146        HARMONIC     734.0000    1.0800
 C506     N503        HARMONIC     954.0000    1.3430
 C506     N511        HARMONIC     976.0000    1.3350
 C507     C508        HARMONIC    1040.0000    1.3700
 C507     H146        HARMONIC     734.0000    1.0800
 C507     N511        HARMONIC     820.0000    1.3940
 C508     H146        HARMONIC     734.0000    1.0800
 C508     N503        HARMONIC     854.0000    1.3810
 C509     H146        HARMONIC     734.0000    1.0800
 C509     N512        HARMONIC     954.0000    1.3430
 C510     C510        HARMONIC    1040.0000    1.3700
 C510     H146        HARMONIC     734.0000    1.0800
 C510     N512        HARMONIC     854.0000    1.3810
 C514     H146        HARMONIC     734.0000    1.0800
 C514     N503        HARMONIC     854.0000    1.3810
 H155     O154        HARMONIC    1106.0000    0.9450
 H168     O167        HARMONIC    1106.0000    0.9450
 H204     S200        HARMONIC     548.0000    1.3360
 H240     N237        HARMONIC     868.0000    1.0100
 H241     N238        HARMONIC     868.0000    1.0100
 H270     O268        HARMONIC    1106.0000    0.9450
 H290     N287        HARMONIC     868.0000    1.0100
 H301     N300        HARMONIC     868.0000    1.0100
 H304     N303        HARMONIC     868.0000    1.0100
 H310     N309        HARMONIC     868.0000    1.0100
 H504     N503        HARMONIC     868.0000    1.0100
 H513     N512        HARMONIC     868.0000    1.0100
