 C145     C145     C145      THETA_HARM     126.0000  120.0000
 C145     C145     C149      THETA_HARM     140.0000  120.0000
 C145     C145     C166      THETA_HARM     126.0000  120.0000
 C145     C145     C501      THETA_HARM     126.0000  120.0000
 C145     C145     C502      THETA_HARM     170.0000  120.0000
 C145     C145     H146      THETA_HARM      70.0000  120.0000
 C145     C149     C224      THETA_HARM     126.0000  114.0000
 C145     C149     C283      THETA_HARM     126.0000  114.0000
 C145     C149     C293      THETA_HARM     126.0000  114.0000
 C145     C149     H140      THETA_HARM      70.0000  109.5000
 C145     C166     C145      THETA_HARM     126.0000  120.0000
 C145     C166     O167      THETA_HARM     140.0000  120.0000
 C145     C501     C500      THETA_HARM     170.0000  134.9000
 C145     C501     C502      THETA_HARM     170.0000  116.2000
 C145     C502     C501      THETA_HARM     170.0000  122.7000
 C145     C502     N503      THETA_HARM     140.0000  132.8000
 C149     C224     C235      THETA_HARM     126.0000  111.1000
 C149     C224     H140      THETA_HARM      75.0000  110.7000
 C149     C224     N238      THETA_HARM     160.0000  109.7000
 C149     C283     C271      THETA_HARM     126.0000  111.1000
 C149     C283     H140      THETA_HARM      75.0000  110.7000
 C149     C283     N238      THETA_HARM     160.0000  109.7000
 C149     C293     C235      THETA_HARM     126.0000  111.1000
 C149     C293     H140      THETA_HARM      75.0000  110.7000
 C149     C293     N287      THETA_HARM     160.0000  111.2000
 C157     C224     C235      THETA_HARM     126.0000  111.1000
 C157     C224     H140      THETA_HARM      75.0000  110.7000
 C157     C224     N238      THETA_HARM     160.0000  109.7000
 C157     C283     C271      THETA_HARM     126.0000  111.1000
 C157     C283     H140      THETA_HARM      75.0000  110.7000
 C157     C283     N238      THETA_HARM     160.0000  109.7000
 C157     C293     C235      THETA_HARM     126.0000  111.1000
 C157     C293     H140      THETA_HARM      75.0000  110.7000
 C157     C293     N287      THETA_HARM     160.0000  111.2000
 C157     O154     H155      THETA_HARM     110.0000  108.5000
 C158     C135     H140      THETA_HARM      75.0000  110.7000
 C158     C224     C235      THETA_HARM     126.0000  111.1000
 C158     C224     H140      THETA_HARM      75.0000  110.7000
 C158     C224     N238      THETA_HARM     160.0000  109.7000
 C158     C283     C271      THETA_HARM     126.0000  111.1000
 C158     C283     H140      THETA_HARM      75.0000  110.7000
 C158     C283     N238      THETA_HARM     160.0000  109.7000
 C158     C293     C235      THETA_HARM     126.0000  111.1000
 C158     C293     H140      THETA_HARM      75.0000  110.7000
 C158     C293     N287      THETA_HARM     160.0000  111.2000
 C158     O154     H155      THETA_HARM     110.0000  108.5000
 C166     C145     H146      THETA_HARM      70.0000  120.0000
 C166     O167     H168      THETA_HARM      70.0000  113.0000
 C206     C224     C235      THETA_HARM     126.0000  111.1000
 C206     C224     H140      THETA_HARM      75.0000  110.7000
 C206     C224     N238      THETA_HARM     160.0000  109.7000
 C206     C283     C271      THETA_HARM     126.0000  111.1000
 C206     C283     H140      THETA_HARM      75.0000  110.7000
 C206     C283     N238      THETA_HARM     160.0000  109.7000
 C206     C293     C235      THETA_HARM     126.0000  111.1000
 C206     C293     H140      THETA_HARM      75.0000  110.7000
 C206     C293     N287      THETA_HARM     160.0000  111.2000
 C206     S200     H204      THETA_HARM      88.0000   96.0000
 C209     S202     C210      THETA_HARM     124.0000   98.9000
 C210     C136     C224      THETA_HARM     116.7000  112.7000
 C210     C136     C283      THETA_HARM     116.7000  112.7000
 C210     C136     C293      THETA_HARM     116.7000  112.7000
 C210     C136     H140      THETA_HARM      75.0000  110.7000
 C214     C224     C235      THETA_HARM     126.0000  111.1000
 C214     C224     H140      THETA_HARM      75.0000  110.7000
 C214     C224     N238      THETA_HARM     160.0000  109.7000
 C214     C283     C271      THETA_HARM     126.0000  111.1000
 C214     C283     H140      THETA_HARM      75.0000  110.7000
 C214     C283     N238      THETA_HARM     160.0000  109.7000
 C214     C293     C235      THETA_HARM     126.0000  111.1000
 C214     C293     H140      THETA_HARM      75.0000  110.7000
 C214     C293     N287      THETA_HARM     160.0000  111.2000
 C214     S203     S203      THETA_HARM     136.0000  103.7000
 C223     C235     N238      THETA_HARM     140.0000  116.6000
 C223     C235     N239      THETA_HARM     140.0000  116.6000
 C223     C235     O236      THETA_HARM     160.0000  120.4000
 C223     N238     C235      THETA_HARM     100.0000  121.9000
 C223     N238     H241      THETA_HARM      76.0000  118.4000
 C224     C135     H140      THETA_HARM      75.0000  110.7000
 C224     C136     C235      THETA_HARM     126.0000  111.1000
 C224     C136     C267      THETA_HARM     126.0000  111.1000
 C224     C136     C274      THETA_HARM     116.7000  112.7000
 C224     C136     C308      THETA_HARM     116.7000  112.7000
 C224     C136     C500      THETA_HARM     126.0000  115.6000
 C224     C136     H140      THETA_HARM      75.0000  110.7000
 C224     C137     H140      THETA_HARM      75.0000  110.7000
 C224     C149     H140      THETA_HARM      75.0000  110.7000
 C224     C157     H140      THETA_HARM      75.0000  110.7000
